epoch,Train_Loss,Train_dice,Val_Loss,Val_dice
1,0.8769,0.1011,0.9004,0.2464
2,0.8545,0.2046,0.8976,0.172
3,0.8481,0.3593,0.8942,0.443
4,0.8448,0.419,0.8968,0.1723
5,0.8429,0.4597,0.892,0.4178
6,0.8413,0.4835,0.8902,0.5253
7,0.8398,0.5031,0.8927,0.1806
8,0.8388,0.5091,0.8891,0.5021
9,0.838,0.5245,0.8902,0.4327
10,0.8375,0.5265,0.8898,0.5023
11,0.8369,0.5379,0.8884,0.3582
12,0.8363,0.5468,0.8905,0.4674
13,0.8356,0.5447,0.8871,0.3974
14,0.8352,0.5513,0.888,0.4843
15,0.8349,0.5581,0.8867,0.4735
16,0.8348,0.5564,0.8868,0.4783
17,0.8341,0.5679,0.8867,0.4659
18,0.8338,0.5742,0.8875,0.4197
19,0.8338,0.5684,0.8868,0.5277
20,0.8327,0.5803,0.8866,0.3921
21,0.8326,0.5859,0.8857,0.4587
22,0.8323,0.5803,0.8874,0.545
23,0.832,0.5937,0.8861,0.4976
24,0.8319,0.6001,0.8851,0.5013
25,0.8315,0.6089,0.8895,0.5423
26,0.8314,0.6075,0.8852,0.4741
27,0.831,0.6084,0.8866,0.5158
28,0.831,0.6098,0.885,0.4894
29,0.8306,0.6196,0.8855,0.4896
30,0.8306,0.6264,0.8888,0.5692
31,0.8306,0.6166,0.8857,0.5369
32,0.8303,0.6158,0.8862,0.5269
33,0.8303,0.6177,0.8852,0.4872
34,0.8298,0.6349,0.885,0.3986
35,0.8298,0.6316,0.8852,0.4894
36,0.8298,0.6294,0.8862,0.5178
37,0.8295,0.639,0.8866,0.5026
38,0.8292,0.6367,0.8859,0.4899
39,0.8291,0.6414,0.8858,0.5565
40,0.8284,0.6504,0.8842,0.5452
41,0.8286,0.639,0.8863,0.5553
42,0.8285,0.6456,0.8845,0.498
43,0.8281,0.6562,0.8839,0.5308
44,0.8281,0.6504,0.8855,0.5326
45,0.8279,0.6562,0.8862,0.561
46,0.8276,0.6586,0.8903,0.5339
47,0.8275,0.6551,0.8844,0.5201
48,0.8273,0.6601,0.884,0.5065
49,0.8274,0.6659,0.8954,0.562
50,0.8273,0.6704,0.8839,0.5139
51,0.8271,0.6666,0.892,0.5226
52,0.827,0.6736,0.8849,0.5407
53,0.8268,0.6666,0.8844,0.5137
54,0.8268,0.6703,0.8854,0.4963
55,0.8266,0.6739,0.8879,0.5721
56,0.8264,0.6778,0.884,0.4966
57,0.8264,0.6764,0.8868,0.5805
58,0.8262,0.6825,0.8887,0.5392
59,0.8265,0.6795,0.8844,0.5318
60,0.8259,0.6889,0.8888,0.5038
61,0.8256,0.687,0.8922,0.5399
62,0.8254,0.6879,0.884,0.5125
63,0.8254,0.689,0.8877,0.5262
64,0.8252,0.6984,0.8849,0.4851
65,0.8252,0.7034,0.8868,0.5797
66,0.8249,0.705,0.8847,0.4998
67,0.8248,0.7048,0.8864,0.5449
68,0.8247,0.7064,0.8849,0.5065
69,0.8247,0.7004,0.8853,0.5547
70,0.8246,0.7065,0.8876,0.547
71,0.8244,0.7075,0.8845,0.5295
72,0.8245,0.7083,0.885,0.5427
73,0.8242,0.715,0.8859,0.5332
74,0.8241,0.706,0.8875,0.543
75,0.824,0.7127,0.8849,0.5421
76,0.824,0.7136,0.8849,0.5412
77,0.8237,0.714,0.8843,0.5372
78,0.8238,0.7172,0.8871,0.5357
79,0.8236,0.72,0.8855,0.3455
80,0.8232,0.724,0.8892,0.5294
81,0.8232,0.726,0.8897,0.5234
82,0.8229,0.734,0.8916,0.5896
83,0.8228,0.7264,0.8938,0.5629
84,0.8229,0.733,0.8848,0.5238
85,0.8227,0.737,0.8851,0.4468
86,0.8227,0.7331,0.8873,0.5795
87,0.8226,0.7359,0.8855,0.5422
88,0.8226,0.7319,0.8859,0.5381
89,0.8225,0.745,0.886,0.5411
90,0.8222,0.7391,0.8864,0.4969
91,0.8222,0.7361,0.8853,0.5217
92,0.8223,0.7358,0.8854,0.5082
93,0.8221,0.7387,0.8854,0.5412
94,0.8221,0.7417,0.8856,0.5535
95,0.8219,0.7463,0.8855,0.5141
96,0.822,0.7369,0.8874,0.5333
97,0.8219,0.7456,0.8854,0.4966
98,0.8216,0.7485,0.8886,0.5476
99,0.8215,0.7516,0.8856,0.4859
100,0.8213,0.748,0.885,0.5286
101,0.8212,0.7473,0.8858,0.5149
102,0.8212,0.7529,0.8852,0.5536
103,0.821,0.7552,0.8852,0.5377
104,0.8209,0.76,0.8855,0.5095
105,0.8209,0.76,0.8882,0.5539
106,0.8208,0.7584,0.8868,0.5441
107,0.8208,0.7616,0.8847,0.5079
108,0.8207,0.7602,0.8881,0.5368
109,0.8206,0.7631,0.8863,0.5235
110,0.8206,0.7597,0.8875,0.5352
111,0.8204,0.7656,0.8866,0.5657
112,0.8205,0.7637,0.8925,0.5373
