epoch,Train_Loss,Train_dice,Val_Loss,Val_dice
1,1.327,0.4483,1.2769,0.6463
2,1.2204,0.5161,1.2439,0.6059
3,1.202,0.5444,1.235,0.6236
4,1.1927,0.5714,1.2351,0.5664
5,1.1855,0.6082,1.2274,0.7106
6,1.1812,0.6257,1.2327,0.5765
7,1.1784,0.6376,1.2233,0.6781
8,1.1766,0.6464,1.225,0.7744
9,1.1738,0.6569,1.2206,0.6776
10,1.1724,0.6658,1.2223,0.7587
11,1.17,0.6757,1.217,0.7084
12,1.1685,0.6868,1.2254,0.7975
13,1.1673,0.6929,1.2216,0.6818
14,1.167,0.695,1.2156,0.7489
15,1.1651,0.7059,1.2154,0.7642
16,1.1642,0.7094,1.2319,0.7995
17,1.1632,0.7171,1.2177,0.6753
18,1.1624,0.719,1.2141,0.7187
19,1.1622,0.7226,1.2168,0.7826
20,1.1597,0.7351,1.2181,0.8106
21,1.1594,0.7388,1.2193,0.7894
22,1.1588,0.7415,1.2162,0.8014
23,1.1579,0.7461,1.2138,0.7707
24,1.1571,0.749,1.2147,0.8195
25,1.1567,0.7549,1.2174,0.7944
26,1.1562,0.7563,1.2169,0.7896
27,1.1557,0.7622,1.2139,0.7571
28,1.1552,0.7628,1.221,0.8043
29,1.1546,0.7655,1.2336,0.7773
30,1.154,0.7713,1.2204,0.7826
31,1.1539,0.7708,1.2303,0.8216
32,1.1534,0.7748,1.2152,0.817
33,1.1523,0.7801,1.2136,0.8002
34,1.1523,0.779,1.2171,0.8098
35,1.1521,0.7806,1.2173,0.8265
36,1.1514,0.783,1.2141,0.8141
37,1.151,0.7892,1.2123,0.7841
38,1.1507,0.792,1.2139,0.7649
39,1.1499,0.7958,1.2153,0.8309
40,1.1491,0.7988,1.2118,0.7932
41,1.148,0.8054,1.2127,0.8014
42,1.1481,0.8049,1.2126,0.7902
43,1.1475,0.8098,1.2139,0.8141
44,1.147,0.8113,1.2148,0.795
45,1.1469,0.8125,1.2158,0.8185
46,1.1465,0.8146,1.214,0.8336
47,1.1462,0.8171,1.2222,0.8277
48,1.146,0.8163,1.2153,0.8164
49,1.1453,0.8217,1.2219,0.8189
50,1.1457,0.8193,1.2153,0.8106
51,1.1452,0.8228,1.2136,0.7982
52,1.1452,0.8215,1.212,0.7793
53,1.1444,0.8258,1.2139,0.8094
54,1.1443,0.8261,1.2126,0.7951
55,1.144,0.8308,1.2172,0.803
56,1.1439,0.8296,1.215,0.8081
57,1.1432,0.8333,1.214,0.8173
58,1.1433,0.8321,1.2177,0.8159
59,1.143,0.8349,1.2141,0.8038
60,1.142,0.8397,1.2143,0.7973
61,1.1419,0.8404,1.2154,0.8067
62,1.1416,0.8432,1.2138,0.8164
63,1.1413,0.8437,1.2179,0.8027
64,1.1409,0.846,1.2123,0.8028
65,1.1409,0.8462,1.214,0.765
66,1.1409,0.8463,1.2154,0.8102
67,1.1405,0.8485,1.2144,0.8242
68,1.1401,0.8516,1.2126,0.8
69,1.1403,0.8491,1.2134,0.7934
70,1.1401,0.8501,1.2166,0.8001
71,1.1396,0.8544,1.2172,0.8137
72,1.1396,0.8534,1.2147,0.8086
73,1.1394,0.8559,1.2168,0.8148
74,1.1392,0.8546,1.2136,0.8117
75,1.139,0.857,1.216,0.8175
76,1.1389,0.8578,1.2132,0.8139
