epoch,Train_Loss,Train_dice,Val_Loss,Val_dice
83,1.1462,0.8141,1.214,0.7882
84,1.1446,0.8242,1.2146,0.8178
85,1.1456,0.8195,1.2137,0.757
86,1.1441,0.8279,1.2158,0.8039
87,1.1445,0.8241,1.2128,0.768
88,1.1433,0.83,1.2151,0.7471
89,1.1432,0.8319,1.213,0.8156
90,1.143,0.8313,1.2116,0.804
91,1.1427,0.8357,1.2125,0.7989
92,1.1433,0.8306,1.2118,0.8028
93,1.1427,0.8357,1.2117,0.8086
94,1.142,0.8377,1.2273,0.8129
95,1.1422,0.8395,1.2127,0.8174
96,1.1422,0.8375,1.2135,0.8218
97,1.1421,0.8377,1.2139,0.7879
98,1.1415,0.8422,1.2144,0.8288
99,1.1412,0.8435,1.2115,0.7879
100,1.1414,0.8425,1.213,0.8278
101,1.1408,0.8454,1.2127,0.7864
102,1.1397,0.8512,1.2129,0.8089
103,1.1391,0.855,1.2116,0.8191
104,1.1393,0.8541,1.2127,0.7988
105,1.1392,0.8551,1.2125,0.8043
106,1.1387,0.8586,1.2114,0.799
107,1.1387,0.8577,1.2171,0.8252
108,1.1386,0.8593,1.2142,0.8182
109,1.1383,0.8588,1.2144,0.8253
110,1.138,0.8627,1.2128,0.7901
111,1.1377,0.8644,1.221,0.8299
112,1.1375,0.8652,1.2121,0.801
113,1.1378,0.8631,1.2121,0.7941
114,1.1375,0.8645,1.2135,0.8073
115,1.1374,0.8648,1.2131,0.7992
116,1.1374,0.8651,1.2128,0.8074
117,1.1371,0.8671,1.213,0.7978
118,1.1366,0.8696,1.2123,0.8099
119,1.1369,0.8683,1.2133,0.794
120,1.1366,0.8698,1.2133,0.8196
121,1.1364,0.8709,1.215,0.8237
122,1.1357,0.875,1.2126,0.8026
123,1.1354,0.8761,1.2123,0.8138
124,1.1352,0.8773,1.2129,0.7984
125,1.135,0.8778,1.2132,0.8213
126,1.135,0.8788,1.2127,0.7895
127,1.1349,0.8789,1.2123,0.8156
128,1.1348,0.8794,1.2139,0.7839
129,1.1346,0.8806,1.2131,0.7957
130,1.1343,0.8832,1.215,0.8132
131,1.1342,0.8834,1.2154,0.8097
132,1.1343,0.8823,1.2141,0.7963
133,1.134,0.8842,1.2119,0.7857
134,1.134,0.8831,1.212,0.8259
135,1.1338,0.8843,1.217,0.8227
136,1.1336,0.885,1.2128,0.8167
137,1.1334,0.8867,1.2138,0.8231
138,1.1335,0.8867,1.214,0.8091
139,1.1333,0.8878,1.2129,0.8164
140,1.1333,0.8881,1.2173,0.8203
141,1.1332,0.8885,1.2151,0.8143
